class,validName,trait,value,stage,reference,commentaires,
Diatomea,Attheya,Toxines,0,NA,NA,NA,
Diatomea,Chaetoceros,buoyancy,0,NA,NA,NA,
Diatomea,Chaetoceros,capsule,silica,NA,NA,NA,
Diatomea,Chaetoceros,chlb,0,NA,NA,NA,
Diatomea,Chaetoceros,chlc,1,NA,NA,NA,
Diatomea,Chaetoceros,Coloniales,chain,NA,NA,NA,
Diatomea,Chaetoceros,feeding_strategy,auto,NA,NA,NA,
Diatomea,Chaetoceros,Forme,cylinder,NA,NA,NA,
Diatomea,Chaetoceros,fyco,0,NA,NA,NA,
Diatomea,Chaetoceros,motility,0,NA,NA,NA,
Diatomea,Chaetoceros,nfix,0,NA,NA,NA,
Diatomea,Chaetoceros,Parasitic,0,NA,NA,NA,
Diatomea,Chaetoceros,Symbiosis_bacterienne,1,NA,NA,NA,
Diatomea,Chaetoceros,Taille.um.,15,NA,NA,NA,
Diatomea,Chaetoceros,DMS,0,NA,Keller et al 1989,NA,
Diatomea,Chaetoceros,Toxines,0,NA,NA,NA,
Diatomea,Coscinodiscus,buoyancy,0,NA,NA,NA,
Diatomea,Coscinodiscus,capsule,silica,NA,NA,NA,
Diatomea,Coscinodiscus,chlb,0,NA,NA,NA,
Diatomea,Coscinodiscus,chlc,1,NA,NA,NA,
Diatomea,Coscinodiscus,Coloniales,NA,NA,NA,NA,
Diatomea,Coscinodiscus,feeding_strategy,auto,NA,NA,NA,
Diatomea,Coscinodiscus,Forme,cylinder,NA,NA,NA,
Diatomea,Coscinodiscus,fyco,0,NA,NA,NA,
Diatomea,Coscinodiscus,motility,0,NA,NA,NA,
Diatomea,Coscinodiscus,nfix,0,NA,NA,NA,
Diatomea,Coscinodiscus,Parasitic,NA,NA,NA,NA,
Diatomea,Coscinodiscus,Symbiosis_bacterienne,NA,NA,NA,NA,
Diatomea,Coscinodiscus,Taille.um.,120,NA,NA,NA,
Diatomea,Coscinodiscus,Toxines,0,NA,NA,NA,
Diatomea,Coscinodiscus,DMS,1,NA,Keller et al 1989,NA,
Diatomea,Cylindrotheca,buoyancy,NA,NA,NA,microscopy,
Diatomea,Cylindrotheca,capsule,NA,NA,NA,microscopy,
Diatomea,Cylindrotheca,chlb,NA,NA,NA,microscopy,
Diatomea,Cylindrotheca,chlc,NA,NA,NA,microscopy,
Diatomea,Cylindrotheca,Coloniales,NA,NA,NA,microscopy,
Diatomea,Cylindrotheca,DMS,1,NA,Keller et al 1989,microscopy,
Diatomea,Cylindrotheca,feeding_strategy,auto,NA,NA,"microscopy, assumption",
Diatomea,Cylindrotheca,Forme,NA,NA,NA,microscopy,
Diatomea,Cylindrotheca,fyco,NA,NA,NA,microscopy,
Diatomea,Cylindrotheca,motility,0,NA,NA,"microscopy, assumption",
Diatomea,Cylindrotheca,nfix,NA,NA,NA,microscopy,
Diatomea,Cylindrotheca,Parasitic,NA,NA,NA,microscopy,
Diatomea,Cylindrotheca,Symbiosis_bacterienne,NA,NA,NA,microscopy,
Diatomea,Cylindrotheca,Taille.um.,40,NA,Grossart 1999,microscopy,
Diatomea,Cylindrotheca,Toxines,NA,NA,NA,microscopy,
Diatomea,Eucampia,buoyancy,0,NA,NA,NA,
Diatomea,Eucampia,capsule,silica,NA,NA,NA,
Diatomea,Eucampia,chlb,0,NA,NA,NA,
Diatomea,Eucampia,chlc,1,NA,NA,NA,
Diatomea,Eucampia,Coloniales,NA,NA,NA,NA,
Diatomea,Eucampia,feeding_strategy,auto,NA,NA,NA,
Diatomea,Eucampia,Forme,cylinder,NA,NA,NA,
Diatomea,Eucampia,fyco,0,NA,NA,NA,
Diatomea,Eucampia,motility,0,NA,NA,NA,
Diatomea,Eucampia,nfix,0,NA,NA,NA,
Diatomea,Eucampia,Parasitic,NA,NA,NA,NA,
Diatomea,Eucampia,Symbiosis_bacterienne,NA,NA,NA,NA,
Diatomea,Eucampia,Taille.um.,15,NA,NA,NA,
Diatomea,Eucampia,Toxines,0,NA,NA,NA,
Diatomea,Eucampia,DMS,0,NA,NA,assumption in Keller et al 1989,
Diatomea,Fragilaria,buoyancy,NA,NA,NA,NA,
Diatomea,Fragilaria,capsule,NA,NA,NA,NA,
Diatomea,Fragilaria,chlb,NA,NA,NA,NA,
Diatomea,Fragilaria,chlc,NA,NA,NA,NA,
Diatomea,Fragilaria,Coloniales,NA,NA,NA,NA,
Diatomea,Fragilaria,DMS,0,NA,NA,assumption in Keller et al 1989,
Diatomea,Fragilaria,feeding_strategy,auto,NA,Poulin et al 1986,NA,
Diatomea,Fragilaria,Forme,NA,NA,NA,NA,
Diatomea,Fragilaria,fyco,NA,NA,NA,NA,
Diatomea,Fragilaria,motility,0,NA,Reynolds 1976,NA,
Diatomea,Fragilaria,nfix,NA,NA,NA,NA,
Diatomea,Fragilaria,Parasitic,NA,NA,NA,NA,
Diatomea,Fragilaria,Symbiosis_bacterienne,NA,NA,NA,NA,
Diatomea,Fragilaria,Taille.um.,13,NA,Cejudo-Figueiras et al 2011,NA,
Diatomea,Fragilaria,Toxines,NA,NA,NA,NA,
Diatomea,Fragilariopsis,buoyancy,0,NA,NA,NA,
Diatomea,Fragilariopsis,capsule,silica,NA,NA,NA,
Diatomea,Fragilariopsis,chlb,0,NA,NA,NA,
Diatomea,Fragilariopsis,chlc,1,NA,NA,NA,
Diatomea,Fragilariopsis,Coloniales,NA,NA,NA,NA,
Diatomea,Fragilariopsis,feeding_strategy,auto,NA,NA,NA,
Diatomea,Fragilariopsis,Forme,parallelepiped,NA,NA,NA,
Diatomea,Fragilariopsis,fyco,0,NA,NA,NA,
Diatomea,Fragilariopsis,motility,0,NA,NA,NA,
Diatomea,Fragilariopsis,nfix,0,NA,NA,NA,
Diatomea,Fragilariopsis,Parasitic,NA,NA,NA,NA,
Diatomea,Fragilariopsis,Symbiosis_bacterienne,NA,NA,NA,NA,
Diatomea,Fragilariopsis,Taille.um.,17,NA,NA,NA,
Diatomea,Fragilariopsis,Toxines,0,NA,NA,NA,
Diatomea,Fragilariopsis,DMS,0,NA,NA,assumption in Keller et al 1989,
Diatomea,Lennoxia,buoyancy,NA,NA,NA,microscopy,
Diatomea,Lennoxia,capsule,NA,NA,NA,microscopy,
Diatomea,Lennoxia,chlb,NA,NA,NA,microscopy,
Diatomea,Lennoxia,chlc,NA,NA,NA,microscopy,
Diatomea,Lennoxia,Coloniales,NA,NA,NA,microscopy,
Diatomea,Lennoxia,DMS,0,NA,NA,"microscopy, assumption in Keller et al 1989",
Diatomea,Lennoxia,feeding_strategy,auto,NA,Thomsen et al 1993,microscopy,
Diatomea,Lennoxia,Forme,NA,NA,NA,microscopy,
Diatomea,Lennoxia,fyco,NA,NA,NA,microscopy,
Diatomea,Lennoxia,motility,0,NA,Thomsen et al 1993,microscopy,
Diatomea,Lennoxia,nfix,NA,NA,NA,microscopy,
Diatomea,Lennoxia,Parasitic,NA,NA,NA,microscopy,
Diatomea,Lennoxia,Symbiosis_bacterienne,NA,NA,NA,microscopy,
Diatomea,Lennoxia,Taille.um.,11,NA,Thomsen et al 1993,microscopy,
Diatomea,Lennoxia,Toxines,NA,NA,NA,microscopy,
Diatomea,Leptocylindrus,buoyancy,0,NA,NA,NA,
Diatomea,Leptocylindrus,capsule,silica,NA,NA,NA,
Diatomea,Leptocylindrus,chlb,0,NA,NA,NA,
Diatomea,Leptocylindrus,chlc,1,NA,NA,NA,
Diatomea,Leptocylindrus,Coloniales,chain,NA,https://www.eoas.ubc.ca/research/phytoplankton/diatoms/centric/leptocylindrus/l_danicus.html,NA,
Diatomea,Leptocylindrus,feeding_strategy,auto,NA,NA,NA,
Diatomea,Leptocylindrus,Forme,cyinder,NA,NA,NA,
Diatomea,Leptocylindrus,fyco,0,NA,NA,NA,
Diatomea,Leptocylindrus,motility,0,NA,NA,NA,
Diatomea,Leptocylindrus,nfix,0,NA,NA,NA,
Diatomea,Leptocylindrus,Parasitic,NA,NA,NA,NA,
Diatomea,Leptocylindrus,Symbiosis_bacterienne,NA,NA,NA,NA,
Diatomea,Leptocylindrus,Taille.um.,40,NA,https://www.eoas.ubc.ca/research/phytoplankton/diatoms/centric/leptocylindrus/l_danicus.html,NA,
Diatomea,Leptocylindrus,Toxines,0,NA,NA,NA,
Diatomea,Leptocylindrus,DMS,0,NA,NA,assumption in Keller et al 1989,
Diatomea,Membraneis,buoyancy,NA,NA,NA,microscopy,
Diatomea,Membraneis,capsule,NA,NA,NA,microscopy,
Diatomea,Membraneis,chlb,NA,NA,NA,microscopy,
Diatomea,Membraneis,chlc,NA,NA,NA,microscopy,
Diatomea,Membraneis,Coloniales,NA,NA,NA,microscopy,
Diatomea,Membraneis,DMS,0,NA,NA,"microscopy, assumption in Keller et al 1989",
Diatomea,Membraneis,feeding_strategy,auto,NA,NA,"microscopy, assumption",
Diatomea,Membraneis,Forme,NA,NA,NA,microscopy,
Diatomea,Membraneis,fyco,NA,NA,NA,microscopy,
Diatomea,Membraneis,motility,0,NA,NA,"microscopy, assumption",
Diatomea,Membraneis,nfix,NA,NA,NA,microscopy,
Diatomea,Membraneis,Parasitic,NA,NA,NA,microscopy,
Diatomea,Membraneis,Symbiosis_bacterienne,NA,NA,NA,microscopy,
Diatomea,Membraneis,Taille.um.,162,NA,Cornet-Barthaux et al 2007,microscopy,
Diatomea,Membraneis,Toxines,NA,NA,NA,microscopy,
Diatomea,Navicula,buoyancy,0,NA,NA,NA,
Diatomea,Navicula,capsule,silica,NA,NA,NA,
Diatomea,Navicula,chlb,0,NA,NA,NA,
Diatomea,Navicula,chlc,1,NA,NA,NA,
Diatomea,Navicula,Coloniales,0,NA,https://www.eoas.ubc.ca/research/phytoplankton/diatoms/pennate/navicula/navicula_spp.html,NA,
Diatomea,Navicula,feeding_strategy,auto,NA,NA,NA,
Diatomea,Navicula,Forme,boat,NA,https://www.eoas.ubc.ca/research/phytoplankton/diatoms/pennate/navicula/navicula_spp.html,NA,
Diatomea,Navicula,fyco,0,NA,NA,NA,
Diatomea,Navicula,motility,0,NA,NA,NA,
Diatomea,Navicula,nfix,0,NA,NA,NA,
Diatomea,Navicula,Parasitic,NA,NA,NA,NA,
Diatomea,Navicula,Symbiosis_bacterienne,NA,NA,NA,NA,
Diatomea,Navicula,Taille.um.,50,NA,https://www.eoas.ubc.ca/research/phytoplankton/diatoms/pennate/navicula/navicula_spp.html,NA,
Diatomea,Navicula,Toxines,0,NA,NA,NA,
Diatomea,Navicula,DMS,0,NA,Keller et al 1989,NA,
Diatomea,Nitzschia,buoyancy,0,NA,NA,NA,
Diatomea,Nitzschia,capsule,silica,NA,NA,NA,
Diatomea,Nitzschia,chlb,0,NA,NA,NA,
Diatomea,Nitzschia,chlc,1,NA,NA,NA,
Diatomea,Nitzschia,Coloniales,NA,NA,NA,NA,
Diatomea,Nitzschia,feeding_strategy,auto,NA,NA,NA,
Diatomea,Nitzschia,Forme,parallelepiped,NA,NA,NA,
Diatomea,Nitzschia,fyco,0,NA,NA,NA,
Diatomea,Nitzschia,motility,0,NA,NA,NA,
Diatomea,Nitzschia,nfix,0,NA,NA,NA,
Diatomea,Nitzschia,Parasitic,NA,NA,NA,NA,
Diatomea,Nitzschia,Symbiosis_bacterienne,1,NA,Grossart 1999,NA,
Diatomea,Nitzschia,Taille.um.,13,NA,NA,NA,
Diatomea,Nitzschia,Toxines,0,NA,NA,NA,
Diatomea,Nitzschia,DMS,1,NA,Keller et al 1989,NA,
Diatomea,Plagiogrammopsis,buoyancy,NA,NA,NA,NA,
Diatomea,Plagiogrammopsis,capsule,silica,NA,NA,NA,
Diatomea,Plagiogrammopsis,chlb,NA,NA,NA,NA,
Diatomea,Plagiogrammopsis,chlc,NA,NA,NA,NA,
Diatomea,Plagiogrammopsis,Coloniales,NA,NA,NA,NA,
Diatomea,Plagiogrammopsis,feeding_strategy,auto,NA,NA,NA,
Diatomea,Plagiogrammopsis,Forme,NA,NA,NA,NA,
Diatomea,Plagiogrammopsis,fyco,NA,NA,NA,NA,
Diatomea,Plagiogrammopsis,motility,0,NA,NA,NA,
Diatomea,Plagiogrammopsis,nfix,0,NA,NA,NA,
Diatomea,Plagiogrammopsis,Parasitic,NA,NA,NA,NA,
Diatomea,Plagiogrammopsis,Symbiosis_bacterienne,NA,NA,NA,NA,
Diatomea,Plagiogrammopsis,Taille.um.,32,NA,Sato 2010,NA,
Diatomea,Plagiogrammopsis,Toxines,0,NA,NA,NA,
Diatomea,Plagiogrammopsis,DMS,0,NA,NA,assumption in Keller et al 1989,
Diatomea,Porosira,buoyancy,NA,NA,NA,NA,
Diatomea,Porosira,capsule,NA,NA,NA,NA,
Diatomea,Porosira,chlb,NA,NA,NA,NA,
Diatomea,Porosira,chlc,NA,NA,NA,NA,
Diatomea,Porosira,Coloniales,NA,NA,NA,NA,
Diatomea,Porosira,DMS,1,NA,Keller et al 1989,NA,
Diatomea,Porosira,feeding_strategy,auto,NA,Hoshiai et al 1987,NA,
Diatomea,Porosira,Forme,NA,NA,NA,NA,
Diatomea,Porosira,fyco,NA,NA,NA,NA,
Diatomea,Porosira,motility,1,NA,http://nordicmicroalgae.org/taxon/Porosira%20glacialis?media_id=Porosira%20glacialis_3.jpg,NA,
Diatomea,Porosira,nfix,NA,NA,NA,NA,
Diatomea,Porosira,Parasitic,NA,NA,NA,NA,
Diatomea,Porosira,Symbiosis_bacterienne,NA,NA,NA,NA,
Diatomea,Porosira,Taille.um.,40,NA,http://nordicmicroalgae.org/taxon/Porosira%20glacialis?media_id=Porosira%20glacialis_3.jpg,NA,
Diatomea,Porosira,Toxines,NA,NA,NA,NA,
Diatomea,Pseudo-nitzschia,buoyancy,0,NA,NA,NA,
Diatomea,Pseudo-nitzschia,capsule,silica,NA,NA,NA,
Diatomea,Pseudo-nitzschia,chlb,0,NA,NA,NA,
Diatomea,Pseudo-nitzschia,chlc,1,NA,NA,NA,
Diatomea,Pseudo-nitzschia,Coloniales,chain,NA,NA,NA,
Diatomea,Pseudo-nitzschia,feeding_strategy,mixo,NA,NA,NA,
Diatomea,Pseudo-nitzschia,Forme,boat,NA,https://www.eoas.ubc.ca/research/phytoplankton/diatoms/pennate/pseudonitzschia/pseudonitzschia_genus.html,NA,
Diatomea,Pseudo-nitzschia,fyco,0,NA,NA,NA,
Diatomea,Pseudo-nitzschia,motility,0,NA,NA,NA,
Diatomea,Pseudo-nitzschia,nfix,0,NA,NA,NA,
Diatomea,Pseudo-nitzschia,Parasitic,0,NA,NA,NA,
Diatomea,Pseudo-nitzschia,Symbiosis_bacterienne,1,NA,Amine et al 2015,NA,
Diatomea,Pseudo-nitzschia,Taille.um.,50,NA,NA,NA,
Diatomea,Pseudo-nitzschia,Toxines,1,NA,NA,NA,
Diatomea,Pseudo-nitzschia,DMS,0,NA,NA,assumption in Keller et al 1989,
Diatomea,Skeletonema,buoyancy,0,NA,NA,NA,
Diatomea,Skeletonema,capsule,silica,NA,NA,NA,
Diatomea,Skeletonema,chlb,0,NA,NA,NA,
Diatomea,Skeletonema,chlc,1,NA,NA,NA,
Diatomea,Skeletonema,Coloniales,chain,NA,NA,NA,
Diatomea,Skeletonema,feeding_strategy,auto,NA,NA,NA,
Diatomea,Skeletonema,Forme,cylinder,NA,NA,NA,
Diatomea,Skeletonema,fyco,0,NA,NA,NA,
Diatomea,Skeletonema,motility,0,NA,NA,NA,
Diatomea,Skeletonema,nfix,0,NA,NA,NA,
Diatomea,Skeletonema,Parasitic,NA,NA,NA,NA,
Diatomea,Skeletonema,Symbiosis_bacterienne,NA,NA,NA,NA,
Diatomea,Skeletonema,Taille.um.,10,NA,NA,NA,
Diatomea,Skeletonema,Toxines,0,NA,NA,NA,
Diatomea,Skeletonema,DMS,1,NA,Keller et al 1989,NA,
Diatomea,Stauroneis,buoyancy,0,NA,NA,NA,
Diatomea,Stauroneis,capsule,silica,NA,NA,NA,
Diatomea,Stauroneis,chlb,0,NA,NA,NA,
Diatomea,Stauroneis,chlc,1,NA,NA,NA,
Diatomea,Stauroneis,Coloniales,NA,NA,NA,NA,
Diatomea,Stauroneis,feeding_strategy,auto,NA,NA,NA,
Diatomea,Stauroneis,Forme,NA,NA,NA,NA,
Diatomea,Stauroneis,fyco,0,NA,NA,NA,
Diatomea,Stauroneis,motility,0,NA,NA,NA,
Diatomea,Stauroneis,nfix,0,NA,NA,NA,
Diatomea,Stauroneis,Parasitic,NA,NA,NA,NA,
Diatomea,Stauroneis,Symbiosis_bacterienne,NA,NA,NA,NA,
Diatomea,Stauroneis,Taille.um.,35,NA,Hostetter & Hoshaw 1972,NA,
Diatomea,Stauroneis,Toxines,0,NA,NA,NA,
Diatomea,Stauroneis,DMS,0,NA,NA,assumption in Keller et al 1989,
Diatomea,Synedropsis,buoyancy,0,NA,NA,NA,
Diatomea,Synedropsis,capsule,silica,NA,NA,NA,
Diatomea,Synedropsis,chlb,0,NA,NA,NA,
Diatomea,Synedropsis,chlc,1,NA,NA,NA,
Diatomea,Synedropsis,Coloniales,1,NA,NA,NA,
Diatomea,Synedropsis,feeding_strategy,auto,NA,NA,NA,
Diatomea,Synedropsis,Forme,pennate,NA,NA,NA,
Diatomea,Synedropsis,fyco,0,NA,NA,NA,
Diatomea,Synedropsis,motility,0,NA,NA,NA,
Diatomea,Synedropsis,nfix,0,NA,NA,NA,
Diatomea,Synedropsis,Parasitic,NA,NA,NA,NA,
Diatomea,Synedropsis,Symbiosis_bacterienne,NA,NA,NA,NA,
Diatomea,Synedropsis,Taille.um.,76,NA,NA,NA,
Diatomea,Synedropsis,Toxines,0,NA,NA,NA,
Diatomea,Synedropsis,DMS,0,NA,NA,assumption in Keller et al 1989,
Diatomea,Thalassiosira,buoyancy,0,NA,NA,NA,
Diatomea,Thalassiosira,capsule,silica,NA,NA,NA,
Diatomea,Thalassiosira,chlb,0,NA,NA,NA,
Diatomea,Thalassiosira,chlc,1,NA,NA,NA,
Diatomea,Thalassiosira,Coloniales,chain,NA,NA,NA,
Diatomea,Thalassiosira,DMS,1,NA,Franklin 2012,NA,
Diatomea,Thalassiosira,feeding_strategy,auto,NA,NA,NA,
Diatomea,Thalassiosira,Forme,cyinder,NA,NA,NA,
Diatomea,Thalassiosira,fyco,0,NA,NA,NA,
Diatomea,Thalassiosira,motility,0,NA,NA,NA,
Diatomea,Thalassiosira,nfix,0,NA,NA,NA,
Diatomea,Thalassiosira,Parasitic,NA,NA,NA,NA,
Diatomea,Thalassiosira,Symbiosis_bacterienne,1,NA,Durham et al 2014,NA,
Diatomea,Thalassiosira,Taille.um.,35,NA,NA,NA,
Diatomea,Thalassiosira,Toxines,0,NA,NA,NA,
Dictyochophyceae,Apedinella,buoyancy,NA,NA,NA,microscopy,
Dictyochophyceae,Apedinella,capsule,NA,NA,NA,microscopy,
Dictyochophyceae,Apedinella,chlb,NA,NA,NA,microscopy,
Dictyochophyceae,Apedinella,chlc,NA,NA,NA,microscopy,
Dictyochophyceae,Apedinella,Coloniales,NA,NA,NA,microscopy,
Dictyochophyceae,Apedinella,DMS,0,NA,NA,"microscopy, assumption",
Dictyochophyceae,Apedinella,feeding_strategy,auto,NA,Koutoulis et al 1988,microscopy,
Dictyochophyceae,Apedinella,Forme,NA,NA,NA,microscopy,
Dictyochophyceae,Apedinella,fyco,NA,NA,NA,microscopy,
Dictyochophyceae,Apedinella,motility,1,NA,Koutoulis et al 1988,microscopy,
Dictyochophyceae,Apedinella,nfix,NA,NA,NA,microscopy,
Dictyochophyceae,Apedinella,Parasitic,NA,NA,NA,microscopy,
Dictyochophyceae,Apedinella,Symbiosis_bacterienne,NA,NA,NA,microscopy,
Dictyochophyceae,Apedinella,Taille.um.,5,NA,Koutoulis et al 1988,microscopy,
Dictyochophyceae,Apedinella,Toxines,NA,NA,NA,microscopy,
Dictyochophyceae,Dictyocha,buoyancy,NA,NA,NA,microscopy,
Dictyochophyceae,Dictyocha,capsule,NA,NA,NA,microscopy,
Dictyochophyceae,Dictyocha,chlb,NA,NA,NA,microscopy,
Dictyochophyceae,Dictyocha,chlc,NA,NA,NA,microscopy,
Dictyochophyceae,Dictyocha,Coloniales,NA,NA,NA,microscopy,
Dictyochophyceae,Dictyocha,DMS,0,NA,NA,"microscopy, assumption",
Dictyochophyceae,Dictyocha,feeding_strategy,auto,NA,Chang et al 2017,microscopy,
Dictyochophyceae,Dictyocha,Forme,NA,NA,NA,microscopy,
Dictyochophyceae,Dictyocha,fyco,NA,NA,NA,microscopy,
Dictyochophyceae,Dictyocha,motility,1,NA,Chang et al 2017,microscopy,
Dictyochophyceae,Dictyocha,nfix,NA,NA,NA,microscopy,
Dictyochophyceae,Dictyocha,Parasitic,NA,NA,NA,microscopy,
Dictyochophyceae,Dictyocha,Symbiosis_bacterienne,NA,NA,NA,microscopy,
Dictyochophyceae,Dictyocha,Taille.um.,30,NA,Chang et al 2017,microscopy,
Dictyochophyceae,Dictyocha,Toxines,NA,NA,NA,microscopy,
Dictyochophyceae,Florenciella,buoyancy,NA,NA,NA,NA,
Dictyochophyceae,Florenciella,capsule,0,NA,Eikrem et al 2004,NA,
Dictyochophyceae,Florenciella,chlb,NA,NA,NA,NA,
Dictyochophyceae,Florenciella,chlc,1,NA,Eikrem et al 2004,NA,
Dictyochophyceae,Florenciella,Coloniales,NA,NA,NA,NA,
Dictyochophyceae,Florenciella,feeding_strategy,auto,NA,Eikrem et al 2004,NA,
Dictyochophyceae,Florenciella,Forme,sphere,NA,Eikrem et al 2004,NA,
Dictyochophyceae,Florenciella,fyco,NA,NA,NA,NA,
Dictyochophyceae,Florenciella,motility,1,NA,Eikrem et al 2004,NA,
Dictyochophyceae,Florenciella,nfix,NA,NA,NA,NA,
Dictyochophyceae,Florenciella,Parasitic,NA,NA,NA,NA,
Dictyochophyceae,Florenciella,Symbiosis_bacterienne,NA,NA,NA,NA,
Dictyochophyceae,Florenciella,Taille.um.,6,NA,Eikrem et al 2004,NA,
Dictyochophyceae,Florenciella,Toxines,NA,NA,NA,NA,
Dictyochophyceae,Florenciella,DMS,0,NA,NA,assumption,
Dictyochophyceae,Pseudopedinella,buoyancy,NA,NA,NA,microscopy,
Dictyochophyceae,Pseudopedinella,capsule,NA,NA,NA,microscopy,
Dictyochophyceae,Pseudopedinella,chlb,NA,NA,NA,microscopy,
Dictyochophyceae,Pseudopedinella,chlc,NA,NA,NA,microscopy,
Dictyochophyceae,Pseudopedinella,Coloniales,NA,NA,NA,microscopy,
Dictyochophyceae,Pseudopedinella,DMS,0,NA,NA,"microscopy, assumption",
Dictyochophyceae,Pseudopedinella,feeding_strategy,auto,NA,Ostroff & Van Valkenburg 1978,microscopy,
Dictyochophyceae,Pseudopedinella,Forme,NA,NA,NA,microscopy,
Dictyochophyceae,Pseudopedinella,fyco,NA,NA,NA,microscopy,
Dictyochophyceae,Pseudopedinella,motility,1,NA,Ostroff & Van Valkenburg 1978,microscopy,
Dictyochophyceae,Pseudopedinella,nfix,NA,NA,NA,microscopy,
Dictyochophyceae,Pseudopedinella,Parasitic,NA,NA,NA,microscopy,
Dictyochophyceae,Pseudopedinella,Symbiosis_bacterienne,NA,NA,NA,microscopy,
Dictyochophyceae,Pseudopedinella,Taille.um.,11,NA,Ostroff & Van Valkenburg 1978,microscopy,
Dictyochophyceae,Pseudopedinella,Toxines,NA,NA,NA,microscopy,
Dinophyceae,Amphidinium,buoyancy,NA,NA,NA,microscopy,
Dinophyceae,Amphidinium,capsule,NA,NA,NA,microscopy,
Dinophyceae,Amphidinium,chlb,NA,NA,NA,microscopy,
Dinophyceae,Amphidinium,chlc,NA,NA,NA,microscopy,
Dinophyceae,Amphidinium,Coloniales,NA,NA,NA,microscopy,
Dinophyceae,Amphidinium,DMS,1,NA,Keller et al 1989,microscopy,
Dinophyceae,Amphidinium,feeding_strategy,mixo,NA,Stoecker 1999,microscopy,
Dinophyceae,Amphidinium,Forme,NA,NA,NA,microscopy,
Dinophyceae,Amphidinium,fyco,NA,NA,NA,microscopy,
Dinophyceae,Amphidinium,motility,1,NA,Taylor 1971,microscopy,
Dinophyceae,Amphidinium,nfix,NA,NA,NA,microscopy,
Dinophyceae,Amphidinium,Parasitic,NA,NA,NA,microscopy,
Dinophyceae,Amphidinium,Symbiosis_bacterienne,NA,NA,NA,microscopy,
Dinophyceae,Amphidinium,Taille.um.,30,NA,Taylor 1971,microscopy,
Dinophyceae,Amphidinium,Toxines,NA,NA,NA,microscopy,
Dinophyceae,Amphidoma,buoyancy,NA,NA,NA,NA,
Dinophyceae,Amphidoma,capsule,theca,NA,Tilmann et al 2012,NA,
Dinophyceae,Amphidoma,chlb,NA,NA,NA,NA,
Dinophyceae,Amphidoma,chlc,1,NA,Tilmann et al 2012,NA,
Dinophyceae,Amphidoma,Coloniales,NA,NA,NA,NA,
Dinophyceae,Amphidoma,feeding_strategy,mixo,NA,"Nezan et al 2012,  Tilmann et al 2017",assumption feeding_strategie à cause toxicité et placement phylogenetique,
Dinophyceae,Amphidoma,Forme,ovoid,NA,Tilmann et al 2012,NA,
Dinophyceae,Amphidoma,fyco,NA,NA,NA,NA,
Dinophyceae,Amphidoma,motility,1,NA,Tilmann et al 2012,NA,
Dinophyceae,Amphidoma,nfix,NA,NA,NA,NA,
Dinophyceae,Amphidoma,Parasitic,NA,NA,NA,NA,
Dinophyceae,Amphidoma,Symbiosis_bacterienne,NA,NA,NA,NA,
Dinophyceae,Amphidoma,Taille.um.,14,NA,Tilmann et al 2012,NA,
Dinophyceae,Amphidoma,Toxines,NA,NA,NA,NA,
Dinophyceae,Amphidoma,DMS,1,NA,NA,assumption in Keller et al 1989,
Dinophyceae,Azadinium,buoyancy,NA,NA,NA,NA,
Dinophyceae,Azadinium,capsule,NA,NA,NA,NA,
Dinophyceae,Azadinium,chlb,NA,NA,NA,NA,
Dinophyceae,Azadinium,chlc,NA,NA,NA,NA,
Dinophyceae,Azadinium,Coloniales,NA,NA,NA,NA,
Dinophyceae,Azadinium,feeding_strategy,mixo,NA,NA,NA,
Dinophyceae,Azadinium,Forme,ellipsoid,NA,NA,NA,
Dinophyceae,Azadinium,fyco,NA,NA,NA,NA,
Dinophyceae,Azadinium,motility,1,NA,NA,NA,
Dinophyceae,Azadinium,nfix,NA,NA,NA,NA,
Dinophyceae,Azadinium,Parasitic,0,NA,NA,NA,
Dinophyceae,Azadinium,Symbiosis_bacterienne,NA,NA,NA,NA,
Dinophyceae,Azadinium,Taille.um.,15,NA,NA,NA,
Dinophyceae,Azadinium,DMS,1,NA,NA,assumption in Keller et al 1989,
Dinophyceae,Azadinium,Toxines,0.5,NA,NA,NA,
Dinophyceae,Biecheleria,buoyancy,NA,NA,NA,NA,
Dinophyceae,Biecheleria,capsule,NA,NA,NA,NA,
Dinophyceae,Biecheleria,chlb,NA,NA,NA,NA,
Dinophyceae,Biecheleria,chlc,NA,NA,NA,NA,
Dinophyceae,Biecheleria,Coloniales,NA,NA,NA,NA,
Dinophyceae,Biecheleria,feeding_strategy,mixo,NA,NA,NA,
Dinophyceae,Biecheleria,Forme,NA,NA,NA,NA,
Dinophyceae,Biecheleria,fyco,NA,NA,NA,NA,
Dinophyceae,Biecheleria,motility,1,NA,NA,NA,
Dinophyceae,Biecheleria,nfix,0,NA,NA,NA,
Dinophyceae,Biecheleria,Parasitic,NA,NA,NA,NA,
Dinophyceae,Biecheleria,Symbiosis_bacterienne,NA,NA,NA,NA,
Dinophyceae,Biecheleria,Taille.um.,35,NA,Moestrup et al 2009,NA,
Dinophyceae,Biecheleria,DMS,1,NA,NA,assumption in Keller et al 1989,
Dinophyceae,Biecheleria,Toxines,0,NA,NA,NA,
Dinophyceae,Chytriodinium,buoyancy,NA,NA,NA,NA,
Dinophyceae,Chytriodinium,capsule,NA,NA,NA,NA,
Dinophyceae,Chytriodinium,chlb,0,NA,NA,NA,
